Map ID, Day number, Animals number, Plants number, Empty Tile, Most Popular Genome, Most Popular Genome Appearance, Second Most Popular Genome, Second Most Popular Genome Appearance, Third Most Popular Genome, Third Popular Genome Appearance, Average Energy Level, Average Life Length, Average Kids Number
e91e006a-16c3-4f82-85a1-e88b9d5d8373, 1, 30, 13, 62, 63162, 1, 65100, 1, 74633, 1, 48.0, 0.0, 0.0
e91e006a-16c3-4f82-85a1-e88b9d5d8373, 2, 30, 14, 61, 63162, 1, 65100, 1, 74633, 1, 42.0, 0.0, 0.0
e91e006a-16c3-4f82-85a1-e88b9d5d8373, 3, 30, 15, 58, 63162, 1, 65100, 1, 74633, 1, 34.0, 0.0, 0.0
e91e006a-16c3-4f82-85a1-e88b9d5d8373, 4, 30, 17, 57, 63162, 1, 65100, 1, 74633, 1, 26.0, 0.0, 0.0
e91e006a-16c3-4f82-85a1-e88b9d5d8373, 5, 30, 18, 58, 63162, 1, 65100, 1, 74633, 1, 19.0, 0.0, 0.0
e91e006a-16c3-4f82-85a1-e88b9d5d8373, 6, 27, 19, 56, 63162, 1, 65100, 1, 74333, 1, 14.0, 5.0, 0.0
e91e006a-16c3-4f82-85a1-e88b9d5d8373, 7, 18, 22, 61, 63162, 1, 65100, 1, 41102, 1, 14.0, 5.0, 0.0
e91e006a-16c3-4f82-85a1-e88b9d5d8373, 8, 13, 23, 64, 63162, 1, 03205, 1, 24025, 1, 15.0, 6.0, 0.0
e91e006a-16c3-4f82-85a1-e88b9d5d8373, 9, 10, 25, 65, 63162, 1, 34530, 1, 25200, 1, 16.0, 6.0, 0.0
e91e006a-16c3-4f82-85a1-e88b9d5d8373, 10, 7, 26, 67, 34530, 1, 25200, 1, 76602, 1, 25.0, 6.0, 0.0
e91e006a-16c3-4f82-85a1-e88b9d5d8373, 11, 5, 29, 66, 25200, 1, 76602, 1, 24025, 1, 25.0, 7.0, 0.0
